id,Name,years,Remarks
1,Auto Trading Asia,2021,listed in securities commision INVESTOR ALERT LIST
2,Asia Digital Capital Trading,2021,listed in securities commision INVESTOR ALERT LIST
3,Potential clone entity – Aseel Islamic Finance,2021,listed in securities commision INVESTOR ALERT LIST
4,Potential clone entity – AlHuda Asset Management,2021,listed in securities commision INVESTOR ALERT LIST
5,Potential clone entity – Arbah Capital / Syarikat Arbah Capital Trading,2021,listed in securities commision INVESTOR ALERT LIST
6,Potential clone entity – Alkhair Capital Invest / Alkhair Capital (M) Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
7,Alyah Trading Investment / Alyah General Trading,2021,listed in securities commision INVESTOR ALERT LIST
8,Potential clone entity – Amanahraya Investment Management,2021,listed in securities commision INVESTOR ALERT LIST
9,Potential clone entity – Al Mal Investment - Asia,2021,listed in securities commision INVESTOR ALERT LIST
10,Potential clone entity – Amana Capital,2021,listed in securities commision INVESTOR ALERT LIST
11,Al-Fazal / Al-Fazal Finance,2021,listed in securities commision INVESTOR ALERT LIST
12,Potential clone entity – Al Ghurair,2021,listed in securities commision INVESTOR ALERT LIST
13,Potential clone entity – Acon Investment Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
14,Potential clone entity – Aviva Takaful Investment,2021,listed in securities commision INVESTOR ALERT LIST
15,Ang Kian Heng (AK Heng) (NRIC No. 620112-10-6713),2021,listed in securities commision INVESTOR ALERT LIST
16,Potential clone entity – AJIB Investment Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
17,Potential clone entity – Al-Rajhi Capital Company,2021,listed in securities commision INVESTOR ALERT LIST
18,Potential clone entity – Apex Invests / Apex Investment,2021,listed in securities commision INVESTOR ALERT LIST
19,Al Maju General Trading Co / Syarikat Al-Maju Trading,2021,listed in securities commision INVESTOR ALERT LIST
20,BTC Pelaburan Malaysia,2021,listed in securities commision INVESTOR ALERT LIST
21,Potential clone entity – BHM Capital Trading,2021,listed in securities commision INVESTOR ALERT LIST
22,Potential clone entity – Binary Elegance Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
23,Berkat Serata Investment / Syarikat Berkat Serata,2021,listed in securities commision INVESTOR ALERT LIST
24,Potential clone entity – Bittrex Global Trading Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
25,Crypto Trading,2021,listed in securities commision INVESTOR ALERT LIST
26,Potential clone entity – Citibank International Investment Plan Worldwide,2021,listed in securities commision INVESTOR ALERT LIST
27,Potential clone entity – City Index Traders,2021,listed in securities commision INVESTOR ALERT LIST
28,Crypto.co / Cyrpto.co Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
29,Potential clone of Ethis Ventures (Golden Trading Group),2021,listed in securities commision INVESTOR ALERT LIST
30,Potential clone entity – easy Markets,2021,listed in securities commision INVESTOR ALERT LIST
31,Elite Wooden Trading Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
32,Equity Global Business,2021,listed in securities commision INVESTOR ALERT LIST
33,Potential clone entity - Ettijah Investment,2021,listed in securities commision INVESTOR ALERT LIST
34,Four Options Trade,2021,listed in securities commision INVESTOR ALERT LIST
35,Fikra Islamic Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
36,Fiqh Global Investment Co.,2021,listed in securities commision INVESTOR ALERT LIST
37,FBS Trading Berhad / FBS Global Traders Sdn Bhd,2021,listed in securities commision INVESTOR ALERT LIST
38,Global Bit Group Financial,2021,listed in securities commision INVESTOR ALERT LIST
39,Potential clone entity of Global Investments Limited,2021,listed in securities commision INVESTOR ALERT LIST
40,Hibah Jaya Investment,2021,listed in securities commision INVESTOR ALERT LIST
41,Potential clone entity – Ikhlas Berseri Sdn. Bhd.,2021,listed in securities commision INVESTOR ALERT LIST
42,Islamic Oil Investment,2021,listed in securities commision INVESTOR ALERT LIST
43,Potential clone entity – Investrade Discount Securities,2021,listed in securities commision INVESTOR ALERT LIST
44,Potential clone entity – IC Market Asia,2021,listed in securities commision INVESTOR ALERT LIST
