Company,IsRegistered,YearsInOperation,HighReturns,TransparentBusinessModel,AccessibleManagement,ClearTerms,EasyWithdrawal,RequiresRecruitment,ThirdPartyReviews,UnsolicitedOffers,ProfessionalWebsite,EncouragesSecrecy,Flag
Company A,Yes,3,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Green
Company B,No,1,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Red
Company C,Not Sure,2,Yes,No,No,No,No,Yes,Mixed,Yes,No,Yes,Yellow
Company D,Yes,5,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company E,No,Less than 1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company F,Yes,10,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company G,Not Sure,4,Yes,No,Yes,No,Yes,Yes,Mixed,Yes,Yes,Yes,Yellow
Company H,No,2,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company I,Yes,7,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company J,No,1,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Red
Company K,Yes,15,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company L,Not Sure,3,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company M,No,1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company N,Yes,8,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company O,Not Sure,2,Yes,No,Yes,No,No,Mixed,Yes,No,Yes,Yellow
Company P,Yes,12,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company Q,No,Less than 1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company R,Yes,5,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company S,Not Sure,4,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company T,No,2,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
Company U,Yes,6,No,Yes,Yes,Yes,Yes,No,Positive,No,Yes,No,Green
Company V,Not Sure,3,Yes,No,No,No,Yes,Yes,Mixed,Yes,No,Yes,Yellow
Company W,No,1,Yes,No,No,No,No,Yes,Negative,Yes,No,Yes,Red
